experiment,scenario,method,compression_ratio,slots,avg_active_md_count,avg_total_cost,std_total_cost,avg_total_latency,avg_total_energy,avg_task_queue_wait,avg_queue_backlog,max_queue_backlog,policy_switch_rate
online_extension,online_bandwidth_trace,Online Only-Local,4.0,9,5.0,18.848457004800004,0.0,6.349615057660151,12.498841947139852,0.0,0.0,0.0,0.0
online_extension,online_bandwidth_trace,Online Only-Server,4.0,9,5.0,10.411683273486814,5.946739713175947,5.777894210986813,4.6337890625,0.06099392000000057,0.06099392000000057,0.6099392000000057,0.0
online_extension,online_bandwidth_trace,Static MinCut+BMatch,4.0,9,5.0,4.173368239435202,1.1878490112568174,2.500293405249046,1.6730748341861568,0.05700994560000051,0.05700994560000051,0.570099456000005,0.0
online_extension,online_bandwidth_trace,Online MinCut+BMatch,4.0,9,5.0,4.003469826046314,1.10857278199004,2.389831658110157,1.6136381679361569,0.05700994560000051,0.05700994560000051,0.570099456000005,0.05
online_extension,online_burst_load,Online Only-Local,4.0,9,3.6666666666666665,13.167131308800002,4.047062491077012,4.433574473640101,8.7335568351599,0.0,0.0,0.0,0.0
online_extension,online_burst_load,Online Only-Server,4.0,9,3.6666666666666665,6.755970482154125,2.290517583550387,3.7130017321541255,3.04296875,0.007906619259259333,0.015004170666666783,0.22872720000000213,0.25
online_extension,online_burst_load,Static MinCut+BMatch,4.0,9,3.6666666666666665,2.8336477162215266,0.8108716965425492,1.6517197351366582,1.1819279810848684,0.03642302080000033,0.023754144000000216,0.3563121600000032,0.17
online_extension,online_burst_load,Online MinCut+BMatch,4.0,9,3.6666666666666665,2.7609657329326365,0.8604599504512637,1.5790377518477685,1.1819279810848684,0.007390178133333401,0.014096709831111219,0.21378729600000196,0.25
online_extension,online_composite_nonstationary,Online Only-Local,4.0,9,4.0,15.109108055466669,3.901096522343736,5.210365172306767,9.898742883159901,0.0,0.0,0.0,0.0
online_extension,online_composite_nonstationary,Online Only-Server,4.0,9,4.0,8.498800761139314,4.080842091036972,4.678488261139315,3.8203125,0.018364383680000193,0.023462451931428797,0.30496960000000284,0.39
online_extension,online_composite_nonstationary,Static MinCut+BMatch,4.0,9,4.0,3.278321752968275,0.6269406150228815,1.9536744899979896,1.3246472629702848,0.031145312609524054,0.025866415847619253,0.3563121600000032,0.09
online_extension,online_composite_nonstationary,Online MinCut+BMatch,4.0,9,4.0,3.07237383131472,0.7349794918983543,1.807163234594435,1.2652105967202851,0.01670641627259277,0.021353827793947296,0.2850497280000026,0.415
